Key,TTT_NEW
S006T16,T04
S006T16,T05
S006T16,T06
S006T16,T07
S006T16,T08
S006T16,T09
S006T16,T10
S006T16,T11
S006T16,T12
S006T17,T01
S006T17,T02
S006T17,T03
S006T17,T04
S006T17,T05
S006T17,T06
S006T17,T07
S006T17,T08
S006T17,T09
S006T17,T10
S006T17,T11
S006T17,T12
S006T18,T01
S006T18,T02
S006T18,T03
S006T18,T04
S006T18,T05
S006T18,T06
S006T18,T07
S006T18,T08
S006T18,T09
S006T18,T10
S006T18,T11
S006T18,T12
S006T19,T01
S006T19,T02
S006T19,T03
S006T19,T04
S006T19,T05
S006T19,T06
S006T19,T07
S006T19,T08
S006T19,T09
S006T19,T10
S006T19,T11
S006T19,T12
S006T20,T01
S006T20,T02
S006T20,T03
S006T20,T04
S006T20,T05
S006T20,T06
S006T20,T07
S006T20,T08
S006T20,T09
S006T20,T10
S006T20,T11
S006T20,T12
S006T21,T01
S006T21,T02
S006T21,T03
S006T21,T04
S006T21,T05
S006T21,T06
S006T21,T07
S006T21,T08
S006T21,T09
S006T21,T10
S006T21,T11
S006T21,T12
S006T22,T01
S006T22,T02
S006T22,T03
S006T22,T04
S006T22,T05
S006T22,T06
S006T22,T07
S006T22,T08
S006T22,T09
S006T22,T10
S006T22,T11
S006T22,T12
S006T23,T01
S006T23,T02
S006T23,T03
S006T23,T04
S006T23,T05
S006T23,T06
S006T23,T07
S006T23,T08
S006T23,T09
S006T23,T10
S006T23,T11
S006T23,T12
S006T24,T01
S006T24,T02
S006T24,T03
S006T24,T04
S006T24,T05
S006T24,T06
S006T24,T07
S006T24,T08
S006T24,T09
S006T24,T10
S006T24,T11
S006T24,T12
S007T01,T01
S007T01,T02
S007T01,T03
S007T01,T04
S007T01,T05
S007T01,T06
S007T01,T07
S007T01,T08
S007T01,T09
S007T01,T10
S007T01,T11
S007T01,T12
S007T02,T01
S007T02,T02
S007T02,T03
