,BE_VRE-ONS-LW_RG1_50,BE_VRE-ONS-LW_RG2_50,BE_VRE-ONS-LW_RG3_50,DE4-N_VRE-ONS-LW_RG2_50,DE4-N_VRE-ONS-LW_RG3_50,DE4-E_VRE-ONS-LW_RG1_50,DE4-E_VRE-ONS-LW_RG2_50,DE4-E_VRE-ONS-LW_RG3_50,DE4-S_VRE-ONS-LW_RG1_50,DE4-S_VRE-ONS-LW_RG2_50,DE4-S_VRE-ONS-LW_RG3_50,DE4-W_VRE-ONS-LW_RG1_50,DE4-W_VRE-ONS-LW_RG2_50,DE4-W_VRE-ONS-LW_RG3_50,DK1_VRE-ONS-LW_RG3_50,DK2_VRE-ONS-LW_RG3_50,EE_VRE-ONS-LW_RG1_50,EE_VRE-ONS-LW_RG2_50,EE_VRE-ONS-LW_RG3_50,FIN_VRE-ONS-LW_RG1_50,FIN_VRE-ONS-LW_RG2_50,FIN_VRE-ONS-LW_RG3_50,FR_VRE-ONS-LW_RG1_50,FR_VRE-ONS-LW_RG2_50,FR_VRE-ONS-LW_RG3_50,UK_VRE-ONS-LW_RG3_50,LT_VRE-ONS-LW_RG1_50,LT_VRE-ONS-LW_RG2_50,LT_VRE-ONS-LW_RG3_50,LV_VRE-ONS-LW_RG1_50,LV_VRE-ONS-LW_RG2_50,LV_VRE-ONS-LW_RG3_50,NL_VRE-ONS-LW_RG1_50,NL_VRE-ONS-LW_RG2_50,NL_VRE-ONS-LW_RG3_50,NO1_VRE-ONS-LW_RG1_50,NO1_VRE-ONS-LW_RG2_50,NO1_VRE-ONS-LW_RG3_50,NO2_VRE-ONS-LW_RG2_50,NO2_VRE-ONS-LW_RG3_50,NO3_VRE-ONS-LW_RG2_50,NO3_VRE-ONS-LW_RG3_50,NO4_VRE-ONS-LW_RG2_50,NO4_VRE-ONS-LW_RG3_50,NO5_VRE-ONS-LW_RG2_50,NO5_VRE-ONS-LW_RG3_50,PL_VRE-ONS-LW_RG1_50,PL_VRE-ONS-LW_RG2_50,PL_VRE-ONS-LW_RG3_50,SE1_VRE-ONS-LW_RG2_50,SE1_VRE-ONS-LW_RG3_50,SE2_VRE-ONS-LW_RG1_50,SE2_VRE-ONS-LW_RG2_50,SE2_VRE-ONS-LW_RG3_50,SE3_VRE-ONS-LW_RG1_50,SE3_VRE-ONS-LW_RG2_50,SE3_VRE-ONS-LW_RG3_50,SE4_VRE-ONS-LW_RG1_50,SE4_VRE-ONS-LW_RG2_50,SE4_VRE-ONS-LW_RG3_50,Time
263012,11.28154,11.23962,10.51565,11.44241,10.67603,9.314557,9.681266,9.656944,11.09746,10.61419,10.04465,11.02335,10.39691,9.738251,11.00382,10.6675,10.24335,12.14798,11.45823,12.94602,11.16604,10.70465,13.15172,11.27633,9.724866,13.17324,10.84506,10.58711,10.10771,10.42856,11.26996,10.97489,11.27991,10.64903,10.65389,7.812093,7.251985,5.365074,9.860865,9.060965,10.94435,9.332732,14.10323,13.90749,12.00612,9.649159,9.799567,10.13948,10.01282,10.87291,10.01895,9.387463,7.708106,7.495686,10.5578,9.15245,8.136281,9.704877,9.030704,8.301289,02/01/2012 20:00:00
263013,11.37937,11.22565,10.45714,11.47879,10.32819,9.700878,9.768817,9.679526,10.87972,10.48098,9.902363,11.16885,10.5042,9.534328,11.14943,11.00084,9.955848,11.89474,10.91061,12.82993,11.12099,10.70679,13.37615,11.27101,9.433593,13.00839,10.21014,10.19121,9.761641,10.28783,10.96567,10.5319,11.48462,10.89499,10.87348,7.914232,7.299424,5.274737,9.796538,8.956188,11.05896,9.185611,13.84584,13.88199,12.46219,10.00727,9.399344,9.876057,9.702729,10.8866,9.809584,9.2684,7.659195,7.475037,10.67621,9.362086,8.293047,10.11779,8.979156,8.29042,02/01/2012 21:00:00
263014,11.15681,11.2304,10.46701,11.3822,10.09381,9.871962,9.712254,9.500707,10.56643,10.21015,9.745734,11.2504,10.57752,9.327971,11.33281,11.2076,9.862755,11.66634,10.2152,12.65171,11.08565,10.67841,13.45765,11.23863,9.282861,12.94738,10.01023,9.83533,9.381946,10.32318,10.57527,10.01312,11.83986,11.33039,11.23436,8.157739,7.484789,5.190685,9.818288,8.861202,11.13435,9.112316,13.53863,13.80906,12.89956,10.42191,9.040893,9.531938,9.368474,10.96103,9.625124,9.106002,7.616661,7.510149,10.69006,9.454337,8.248172,10.4169,8.914426,8.407227,02/01/2012 22:00:00
263015,11.19305,11.46989,10.50476,11.44496,10.11755,9.902972,9.618246,9.325287,10.41934,9.837687,9.47119,11.29018,10.76034,9.382293,11.69253,11.25537,9.922763,11.32796,9.487514,12.54418,11.04684,10.61177,13.61555,11.22107,9.1684,13.03365,9.830551,9.567519,9.00927,10.41415,10.22435,9.506913,12.28752,11.73174,11.644,8.519062,7.689816,5.141198,10.08933,8.865532,11.14342,9.142336,13.20667,13.71019,13.25252,10.7202,8.75299,9.109159,9.042751,11.07298,9.557662,9.133591,7.602134,7.543327,10.64928,9.472603,8.185963,10.43338,8.847705,8.521244,02/01/2012 23:00:00
263016,11.44674,11.80731,10.60556,11.68304,10.19777,9.925399,9.624117,9.33173,10.49723,9.623385,9.182701,11.39862,11.0238,9.702716,12.17906,11.36329,10.27644,10.86985,8.920171,12.48488,10.98491,10.50587,14.03129,11.28939,8.897432,13.38251,9.564947,9.291474,8.628712,10.19477,9.936671,9.111854,12.65981,12.11106,12.07464,8.95278,7.965501,5.210592,10.62774,9.136649,11.16197,9.258079,12.81693,13.5884,13.60279,10.94845,8.371059,8.60764,8.727231,11.10879,9.571768,9.441028,7.654797,7.538507,10.66217,9.528802,8.251805,10.24047,8.848553,8.60828,03/01/2012 00:00:00
263017,11.67871,12.16271,10.92548,11.91064,10.34596,10.1469,9.859797,9.550975,10.68527,9.676069,9.06155,11.68537,11.24867,9.995864,12.59583,11.62076,10.60017,10.48429,8.685276,12.40565,10.91359,10.38857,14.61806,11.51727,8.54107,13.99645,9.365418,8.954092,8.236741,9.832929,9.580551,8.676,12.81274,12.41868,12.34484,9.560035,8.262839,5.333207,11.26727,9.536574,11.25169,9.49501,12.45491,13.45115,13.9789,11.17308,8.017621,8.136578,8.442817,11.0251,9.601269,9.737325,7.73071,7.476224,10.78943,9.721554,8.445873,9.946939,9.042057,8.754202,03/01/2012 01:00:00
263018,12.17966,12.60098,11.33901,12.08959,10.72378,10.4663,10.2212,9.8434,10.83996,9.781652,8.988235,12.0164,11.44534,10.15303,12.72137,11.82732,10.58294,10.06786,8.654681,12.28506,10.81208,10.24329,15.23643,11.9865,8.374632,14.91124,9.054229,8.665875,7.967599,9.475508,9.095753,8.234802,12.90975,12.68256,12.48667,10.30942,8.45623,5.463752,11.70599,9.747059,11.44153,9.760186,12.0933,13.2837,14.1732,11.18603,7.956472,7.845995,8.265265,10.91969,9.628269,9.779176,7.786495,7.347095,10.8818,9.944368,8.656013,9.754763,9.414377,9.027775,03/01/2012 02:00:00
263019,12.981,13.09498,11.74441,12.34945,11.20941,10.64775,10.47633,10.02639,10.9385,9.732595,8.835587,12.33348,11.72198,10.36607,12.57413,11.78179,10.40398,9.62392,8.689717,12.13731,10.67177,10.07995,15.87838,12.61791,8.578613,16.25498,8.922273,8.528926,7.90764,8.95099,8.581329,7.906587,13.53946,13.15587,12.78991,10.98659,8.497367,5.676427,11.89307,9.795413,11.60762,9.939868,11.73463,13.06332,14.19406,10.91893,8.108774,7.733703,8.26263,10.83102,9.589252,9.955433,7.871488,7.15245,10.92829,10.0903,8.716685,9.760438,9.712404,9.367494,03/01/2012 03:00:00
263020,13.93979,13.74499,12.45213,12.57454,11.60221,10.72414,10.60403,10.08603,11.01115,9.578607,8.628968,12.73853,12.14247,10.67114,12.53698,11.70534,10.27237,9.297101,8.751832,11.92342,10.5173,9.933784,16.46928,13.22206,9.041026,17.7409,8.886566,8.566015,8.020906,8.443607,8.148186,7.645153,14.51324,13.62962,13.36035,11.38093,8.467496,6.073018,11.95184,9.870964,11.60533,10.07231,11.47682,12.85084,14.00565,10.67239,8.267558,7.832827,8.403074,10.72787,9.507809,10.36635,8.010231,6.932773,10.9625,10.10198,8.652033,9.892096,9.844395,9.477188,03/01/2012 04:00:00
263021,15.07679,14.73129,13.59208,12.7965,12.1486,10.88522,10.78239,10.1863,11.09708,9.534842,8.503862,13.24513,12.65858,11.12061,12.73315,11.88594,10.03279,9.038488,8.614255,11.61274,10.36584,9.828925,16.97575,13.72327,9.531855,19.03811,8.699273,8.685879,8.235426,8.001682,7.780319,7.524407,15.19494,14.18615,14.09184,11.38289,8.515611,6.591984,11.8607,10.10563,11.49769,10.15595,11.33672,12.65953,13.49162,10.53495,8.385475,8.068933,8.561322,10.53603,9.440209,10.49843,8.074692,6.727259,11.11229,10.0158,8.552921,10.13934,9.989705,9.347443,03/01/2012 05:00:00
