"RRR","AAA"
"DE4-E","DE4-E_IND-LT-NODH"
"DE4-E","DE4-E_IND-LT-DH"
"DE4-E","DE4-E_IND-MT-NODH"
"DE4-E","DE4-E_IND-MT-DH"
"DE4-E","DE4-E_IDVU-HOTWTR"
"DE4-E","DE4-E_IDVU-SPACEHEAT"
"DE4-N","DE4-N_A"
"DE4-N","DE4-N_Offshore"
"DE4-N","DE4-N_VRE-ONS_RG1_20-30"
"DE4-N","DE4-N_VRE-ONS_RG2_20-30"
"DE4-N","DE4-N_VRE-ONS_RG3_20-30"
"DE4-N","DE4-N_VRE-ONS_RG1_30-40"
"DE4-N","DE4-N_VRE-ONS_RG2_30-40"
"DE4-N","DE4-N_VRE-ONS_RG3_30-40"
"DE4-N","DE4-N_VRE-ONS_RG1_40-50"
"DE4-N","DE4-N_VRE-ONS_RG2_40-50"
"DE4-N","DE4-N_VRE-ONS_RG3_40-50"
"DE4-N","DE4-N_VRE-ONS_RG1_50"
"DE4-N","DE4-N_VRE-ONS_RG2_50"
"DE4-N","DE4-N_VRE-ONS_RG3_50"
"DE4-N","DE4-N_VRE-ONS-LW_RG1_20-30"
"DE4-N","DE4-N_VRE-ONS-LW_RG2_20-30"
"DE4-N","DE4-N_VRE-ONS-LW_RG3_20-30"
"DE4-N","DE4-N_VRE-ONS-LW_RG1_30-40"
"DE4-N","DE4-N_VRE-ONS-LW_RG2_30-40"
"DE4-N","DE4-N_VRE-ONS-LW_RG3_30-40"
"DE4-N","DE4-N_VRE-ONS-LW_RG1_40-50"
"DE4-N","DE4-N_VRE-ONS-LW_RG2_40-50"
"DE4-N","DE4-N_VRE-ONS-LW_RG3_40-50"
"DE4-N","DE4-N_VRE-ONS-LW_RG1_50"
"DE4-N","DE4-N_VRE-ONS-LW_RG2_50"
"DE4-N","DE4-N_VRE-ONS-LW_RG3_50"
"DE4-N","DE4-N_IND-HT-NODH"
"DE4-N","DE4-N_IND-HT-DH"
"DE4-N","DE4-N_IND-LT-NODH"
"DE4-N","DE4-N_IND-LT-DH"
"DE4-N","DE4-N_IND-MT-NODH"
"DE4-N","DE4-N_IND-MT-DH"
"DE4-N","DE4-N_IDVU-HOTWTR"
"DE4-N","DE4-N_IDVU-SPACEHEAT"
"DE4-S","DE4-S_A"
"DE4-S","DE4-S_VRE-ONS_RG1_20-30"
"DE4-S","DE4-S_VRE-ONS_RG2_20-30"
"DE4-S","DE4-S_VRE-ONS_RG3_20-30"
"DE4-S","DE4-S_VRE-ONS_RG1_30-40"
"DE4-S","DE4-S_VRE-ONS_RG2_30-40"
"DE4-S","DE4-S_VRE-ONS_RG3_30-40"
"DE4-S","DE4-S_VRE-ONS_RG1_40-50"
"DE4-S","DE4-S_VRE-ONS_RG2_40-50"
"DE4-S","DE4-S_VRE-ONS_RG3_40-50"
"DE4-S","DE4-S_VRE-ONS_RG1_50"
"DE4-S","DE4-S_VRE-ONS_RG2_50"
"DE4-S","DE4-S_VRE-ONS_RG3_50"
"DE4-S","DE4-S_VRE-ONS-LW_RG1_20-30"
"DE4-S","DE4-S_VRE-ONS-LW_RG2_20-30"
"DE4-S","DE4-S_VRE-ONS-LW_RG3_20-30"
"DE4-S","DE4-S_VRE-ONS-LW_RG1_30-40"
