"Dim1","Dim2","Dim3","Dim4","Dim5","Dim6","Dim7","Val"
"ScenarioResults_181_270","Scenario183","2045","GERMANY","DE4-N","AVERAGE","Money_per_MWh",55.5480968084163
"ScenarioResults_181_270","Scenario183","2045","GERMANY","DE4-S","AVERAGE","Money_per_MWh",58.5768578290875
"ScenarioResults_181_270","Scenario183","2045","GERMANY","DE4-W","AVERAGE","Money_per_MWh",58.6695493333544
"ScenarioResults_181_270","Scenario183","2045","NETHERLANDS","NL","AVERAGE","Money_per_MWh",56.1591228358411
"ScenarioResults_181_270","Scenario183","2045","SWEDEN","SE1","AVERAGE","Money_per_MWh",40.1752910491851
"ScenarioResults_181_270","Scenario183","2045","SWEDEN","SE2","AVERAGE","Money_per_MWh",43.259578421179
"ScenarioResults_181_270","Scenario183","2045","SWEDEN","SE3","AVERAGE","Money_per_MWh",49.0805020519599
"ScenarioResults_181_270","Scenario183","2045","SWEDEN","SE4","AVERAGE","Money_per_MWh",51.7117060342256
"ScenarioResults_181_270","Scenario183","2045","UNITED_KINGDOM","UK","AVERAGE","Money_per_MWh",52.812648450115
"ScenarioResults_181_270","Scenario183","2045","POLAND","PL","AVERAGE","Money_per_MWh",57.7723203584519
"ScenarioResults_181_270","Scenario183","2045","BELGIUM","BE","AVERAGE","Money_per_MWh",56.9271080524623
"ScenarioResults_181_270","Scenario183","2045","FRANCE","FR","AVERAGE","Money_per_MWh",52.3135761464961
"ScenarioResults_181_270","Scenario184","2025","NORWAY","NO1","AVERAGE","Money_per_MWh",48.2737410963147
"ScenarioResults_181_270","Scenario184","2025","NORWAY","NO2","AVERAGE","Money_per_MWh",47.982879823764
"ScenarioResults_181_270","Scenario184","2025","NORWAY","NO3","AVERAGE","Money_per_MWh",42.2249001662673
"ScenarioResults_181_270","Scenario184","2025","NORWAY","NO4","AVERAGE","Money_per_MWh",40.3099577338554
"ScenarioResults_181_270","Scenario184","2025","NORWAY","NO5","AVERAGE","Money_per_MWh",46.2216413190184
"ScenarioResults_181_270","Scenario184","2025","DENMARK","DK1","AVERAGE","Money_per_MWh",54.7239502433558
"ScenarioResults_181_270","Scenario184","2025","DENMARK","DK2","AVERAGE","Money_per_MWh",53.9893904524683
"ScenarioResults_181_270","Scenario184","2025","FINLAND","FIN","AVERAGE","Money_per_MWh",40.2002939712371
"ScenarioResults_181_270","Scenario184","2025","GERMANY","DE4-E","AVERAGE","Money_per_MWh",56.647741930132
"ScenarioResults_181_270","Scenario184","2025","GERMANY","DE4-N","AVERAGE","Money_per_MWh",56.0681932946407
"ScenarioResults_181_270","Scenario184","2025","GERMANY","DE4-S","AVERAGE","Money_per_MWh",60.704529417358
"ScenarioResults_181_270","Scenario184","2025","GERMANY","DE4-W","AVERAGE","Money_per_MWh",58.5149833772883
"ScenarioResults_181_270","Scenario184","2025","NETHERLANDS","NL","AVERAGE","Money_per_MWh",56.8316745286193
"ScenarioResults_181_270","Scenario184","2025","SWEDEN","SE1","AVERAGE","Money_per_MWh",40.0218642070698
"ScenarioResults_181_270","Scenario184","2025","SWEDEN","SE2","AVERAGE","Money_per_MWh",41.6939096524698
"ScenarioResults_181_270","Scenario184","2025","SWEDEN","SE3","AVERAGE","Money_per_MWh",46.9406937596143
"ScenarioResults_181_270","Scenario184","2025","SWEDEN","SE4","AVERAGE","Money_per_MWh",49.0887553612262
"ScenarioResults_181_270","Scenario184","2025","UNITED_KINGDOM","UK","AVERAGE","Money_per_MWh",57.588921480031
"ScenarioResults_181_270","Scenario184","2025","POLAND","PL","AVERAGE","Money_per_MWh",55.3637201185625
"ScenarioResults_181_270","Scenario184","2025","BELGIUM","BE","AVERAGE","Money_per_MWh",57.9466241542522
"ScenarioResults_181_270","Scenario184","2025","FRANCE","FR","AVERAGE","Money_per_MWh",53.8353985087271
"ScenarioResults_181_270","Scenario184","2035","NORWAY","NO1","AVERAGE","Money_per_MWh",53.2002229800454
"ScenarioResults_181_270","Scenario184","2035","NORWAY","NO2","AVERAGE","Money_per_MWh",56.8771709701741
"ScenarioResults_181_270","Scenario184","2035","NORWAY","NO3","AVERAGE","Money_per_MWh",46.4841292764486
"ScenarioResults_181_270","Scenario184","2035","NORWAY","NO4","AVERAGE","Money_per_MWh",44.2125186168771
"ScenarioResults_181_270","Scenario184","2035","NORWAY","NO5","AVERAGE","Money_per_MWh",51.8588572580043
"ScenarioResults_181_270","Scenario184","2035","DENMARK","DK1","AVERAGE","Money_per_MWh",64.1822053229529
"ScenarioResults_181_270","Scenario184","2035","DENMARK","DK2","AVERAGE","Money_per_MWh",67.1240360185481
"ScenarioResults_181_270","Scenario184","2035","FINLAND","FIN","AVERAGE","Money_per_MWh",48.9693435916419
"ScenarioResults_181_270","Scenario184","2035","GERMANY","DE4-E","AVERAGE","Money_per_MWh",68.343678908257
"ScenarioResults_181_270","Scenario184","2035","GERMANY","DE4-N","AVERAGE","Money_per_MWh",67.4124613242217
"ScenarioResults_181_270","Scenario184","2035","GERMANY","DE4-S","AVERAGE","Money_per_MWh",71.6922228337482
"ScenarioResults_181_270","Scenario184","2035","GERMANY","DE4-W","AVERAGE","Money_per_MWh",70.2515969574731
"ScenarioResults_181_270","Scenario184","2035","NETHERLANDS","NL","AVERAGE","Money_per_MWh",70.1599279389372
"ScenarioResults_181_270","Scenario184","2035","SWEDEN","SE1","AVERAGE","Money_per_MWh",46.6971704439719
"ScenarioResults_181_270","Scenario184","2035","SWEDEN","SE2","AVERAGE","Money_per_MWh",49.5785513495659
"ScenarioResults_181_270","Scenario184","2035","SWEDEN","SE3","AVERAGE","Money_per_MWh",55.6792326871452
"ScenarioResults_181_270","Scenario184","2035","SWEDEN","SE4","AVERAGE","Money_per_MWh",60.9890322327942
"ScenarioResults_181_270","Scenario184","2035","UNITED_KINGDOM","UK","AVERAGE","Money_per_MWh",65.9487170842336
"ScenarioResults_181_270","Scenario184","2035","POLAND","PL","AVERAGE","Money_per_MWh",65.7299454929787
"ScenarioResults_181_270","Scenario184","2035","BELGIUM","BE","AVERAGE","Money_per_MWh",70.689091599647
"ScenarioResults_181_270","Scenario184","2035","FRANCE","FR","AVERAGE","Money_per_MWh",64.5925913716636
"ScenarioResults_181_270","Scenario184","2045","NORWAY","NO1","AVERAGE","Money_per_MWh",46.1174723938579
"ScenarioResults_181_270","Scenario184","2045","NORWAY","NO2","AVERAGE","Money_per_MWh",47.8696880932068
"ScenarioResults_181_270","Scenario184","2045","NORWAY","NO3","AVERAGE","Money_per_MWh",41.252833920561
"ScenarioResults_181_270","Scenario184","2045","NORWAY","NO4","AVERAGE","Money_per_MWh",39.3171408436258
"ScenarioResults_181_270","Scenario184","2045","NORWAY","NO5","AVERAGE","Money_per_MWh",44.4932263830298
"ScenarioResults_181_270","Scenario184","2045","DENMARK","DK1","AVERAGE","Money_per_MWh",54.6021858940925
"ScenarioResults_181_270","Scenario184","2045","DENMARK","DK2","AVERAGE","Money_per_MWh",58.6076232254058
"ScenarioResults_181_270","Scenario184","2045","FINLAND","FIN","AVERAGE","Money_per_MWh",44.0066994357356
"ScenarioResults_181_270","Scenario184","2045","GERMANY","DE4-E","AVERAGE","Money_per_MWh",58.2417649013983
"ScenarioResults_181_270","Scenario184","2045","GERMANY","DE4-N","AVERAGE","Money_per_MWh",56.2821416760438
"ScenarioResults_181_270","Scenario184","2045","GERMANY","DE4-S","AVERAGE","Money_per_MWh",58.8618519911013
"ScenarioResults_181_270","Scenario184","2045","GERMANY","DE4-W","AVERAGE","Money_per_MWh",58.9150072958727
"ScenarioResults_181_270","Scenario184","2045","NETHERLANDS","NL","AVERAGE","Money_per_MWh",57.9535600113167
